"VPB","3.285.200","89.032.886.000","212.910","5.854.094.000","3.072.290","83.178.792.000","10.439.264","23.02%"
"VRE","2.021.620","56.915.007.500","206.010","5.781.645.500","1.815.610","51.133.362.000","422.412.600","30.86%"
"MBB","3.211.760","66.045.145.500","1.601.470","33.070.171.000","1.610.290","32.974.974.500","3.215.252","22.91%"
"CTG","1.770.800","59.667.599.000","395.800","13.201.059.000","1.375.000","46.466.540.000","36.880.494","99.01%"
"STB","1.527.770","22.875.460.000","360.750","5.475.630.000","1.167.020","17.399.830.000","273.069.731","9.29%"
"PVD","965.490","12.411.990.000","3.440","44.230.000","962.050","12.367.760.000","168.019.793","9.14%"
"HSG","2.055.780","37.579.552.500","1.128.980","20.758.669.000","926.800","16.820.883.500","167.678.484","11.29%"
"VNM","1.367.320","148.954.900.000","467.100","50.832.810.000","900.220","98.122.090.000","874.594.509","58.15%"
"FCN","669.830","8.605.990.000","56.070","720.140.000","613.760","7.885.850.000","25.962.314","53.28%"
"FUEVFVND","571.190","8.722.244.300","140.570","2.149.489.300","430.620","6.572.755.000","",""
"ITA","375.650","1.901.701.200","2.190","11.059.500","373.460","1.890.641.700","398.385.545","1.32%"
"HBC","496.910","6.693.650.000","136.400","1.839.090.000","360.510","4.854.560.000","76.918.635","15.68%"
"HAG","375.990","1.722.570.000","17.770","79.400.000","358.220","1.643.170.000","384.857.761","1.10%"
"DCM","351.170","4.210.354.500","700","8.320.000","350.470","4.202.034.500","244.333.063","2.85%"
"SSI","600.850","11.556.160.000","276.670","5.303.260.000","324.180","6.252.900.000","310.484.579","48.51%"
"FLC","295.330","1.226.031.900","1.340","5.561.100","293.990","1.220.470.800","330.857.547","2.40%"
"MSN","650.680","53.456.796.000","365.560","29.995.157.000","285.120","23.461.639.000","180.545.372","33.63%"
"HDG","241.000","7.191.548.000","0","0","241.000","7.191.548.000","59.805.711","10.23%"
"SCR","207.060","1.472.050.000","0","0","207.060","1.472.050.000","173.769.721","1.57%"
"IDI","205.420","1.173.470.000","400","2.280.000","205.020","1.171.190.000","110.634.370","0.40%"
"VHM","517.180","42.835.882.000","330.640","27.245.378.000","186.540","15.590.504.000","907.637.617","21.90%"
"NKG","202.900","2.425.080.000","20.050","240.620.000","182.850","2.184.460.000","150.378.041","17.37%"
"ASM","166.350","1.886.760.000","2.200","24.310.000","164.150","1.862.450.000","120.874.592","2.31%"
"KBC","204.490","3.175.623.000","48.400","754.490.000","156.090","2.421.133.000","147.261.124","18.04%"
"GEX","210.330","4.257.290.000","79.200","1.598.110.000","131.130","2.659.180.000","174.820.673","13.19%"
"AST","116.450","6.187.820.000","0","0","116.450","6.187.820.000","2.994.988","42.34%"
"SZC","130.650","3.750.920.000","17.250","502.180.000","113.400","3.248.740.000","47.992.090","1.01%"
"AAA","112.660","1.405.900.000","1.190","14.880.000","111.470","1.391.020.000","216.708.508","2.28%"
"SBT","166.190","3.044.771.500","65.060","1.175.843.000","101.130","1.868.928.500","550.591.828","9.84%"
"PET","96.040","1.531.994.500","8.500","135.775.000","87.540","1.396.219.500","31.651.580","12.45%"
"VND","85.360","1.565.143.000","320","5.974.000","85.040","1.559.169.000","35.497.051","32.90%"
"CSV","80.970","2.219.660.000","0","0","80.970","2.219.660.000","16.214.206","12.32%"
"BVH","250.280","13.748.180.000","170.350","9.352.840.000","79.930","4.395.340.000","151.749.675","28.56%"
"HNG","86.050","1.236.536.000","6.440","92.983.000","79.610","1.143.553.000","541.761.028","0.13%"
"DIG","79.390","1.823.986.500","1.690","38.610.000","77.700","1.785.376.500","80.992.616","23.84%"
"BID","165.710","6.829.770.000","89.900","3.707.980.000","75.810","3.121.790.000","509.973.582","17.32%"
"NVL","122.640","7.409.632.000","57.800","3.484.152.000","64.840","3.925.480.000","323.760.887","5.46%"
"LHG","79.420","2.575.134.000","15.000","497.800.000","64.420","2.077.334.000","21.657.809","5.69%"
"GVR","107.180","1.984.370.000","43.780","803.150.000","63.400","1.181.220.000","489.700.137","0.76%"
"HAX","60.590","1.093.930.000","0","0","60.590","1.093.930.000","14.908.117","8.43%"
"SAB","75.670","14.462.390.000","16.730","3.217.610.000","58.940","11.244.780.000","236.498.349","63.12%"
"DRH","58.390","401.892.800","670","4.609.600","57.720","397.283.200","28.810.293","1.77%"
"LDG","57.540","374.080.000","0","0","57.540","374.080.000","115.376.494","0.97%"
"HHS","53.920","257.570.000","0","0","53.920","257.570.000","125.916.540","3.17%"
"BMP","53.220","3.219.060.000","80","4.800.000","53.140","3.214.260.000","14.965.852","81.72%"
"AGR","63.570","374.670.000","10.620","61.480.000","52.950","313.190.000","98.920.371","2.34%"
"TIP","51.540","1.681.470.000","0","0","51.540","1.681.470.000","8.955.693","14.56%"
"CTI","49.610","689.336.500","0","0","49.610","689.336.500","25.772.215","8.09%"
"IJC","48.560","666.790.000","0","0","48.560","666.790.000","65.267.325","1.39%"
"TTF","56.350","317.930.300","8.150","46.047.500","48.200","271.882.800","152.180.098","0.10%"
"VCI","47.200","1.985.540.000","80","3.360.000","47.120","1.982.180.000","122.119.046","26.26%"
"BCG","45.100","371.330.000","20","160.000","45.080","371.170.000","29.137.827","14.44%"
"HCM","108.750","2.624.738.000","65.160","1.569.982.000","43.590","1.054.756.000","158.427.065","48.21%"
"TLG","41.090","1.536.633.500","260","9.412.000","40.830","1.527.221.500","57.888.737","25.59%"
"TDC","60.500","574.223.300","20.000","192.800.000","40.500","381.423.300","46.384.950","2.62%"
"DRC","39.550","816.558.500","0","0","39.550","816.558.500","36.412.723","18.35%"
"DGW","40.940","3.128.971.000","1.840","139.704.000","39.100","2.989.267.000","8.759.791","28.70%"
"PHR","41.180","2.622.080.000","4.180","265.030.000","37.000","2.357.050.000","49.092.955","12.77%"
"TDM","37.370","1.015.101.000","1.160","31.102.000","36.210","983.999.000","42.516.380","6.48%"
"NLG","144.170","4.146.106.000","108.380","3.140.287.500","35.790","1.005.818.500","2.135.862","48.25%"
"CRC","33.360","566.324.000","0","0","33.360","566.324.000","7.199.540","1.00%"
"D2D","33.250","1.860.233.000","0","0","33.250","1.860.233.000","9.585.192","4.11%"
"HDC","31.910","828.640.000","0","0","31.910","828.640.000","30.875.867","2.58%"
"VJC","98.730","11.516.381.000","68.080","7.941.722.000","30.650","3.574.659.000","63.266.306","18.32%"
"PC1","29.860","658.764.500","900","19.620.000","28.960","639.144.500","55.932.953","13.89%"
"DMC","26.690","1.462.093.000","0","0","26.690","1.462.093.000","14.756.470","57.51%"
"HAP","25.160","144.934.600","0","0","25.160","144.934.600","24.676.633","4.64%"
"SZL","24.320","1.280.020.000","340","18.360.000","23.980","1.261.660.000","6.765.550","15.17%"
"DAG","23.410","158.390.000","0","0","23.410","158.390.000","20.941.396","0.41%"
"AMD","23.280","61.570.000","0","0","23.280","61.570.000","79.212.793","0.55%"
"DAH","22.080","84.780.000","0","0","22.080","84.780.000","16.506.220","0.74%"
"DPG","21.820","613.680.000","0","0","21.820","613.680.000","21.868.103","0.40%"
"HDB","455.410","10.003.250.000","433.670","9.620.330.000","21.740","382.920.000","58.582.792","17.28%"
"DHM","21.280","198.320.000","0","0","21.280","198.320.000","15.098.559","0.91%"
"FUESSV30","20.020","240.240.100","0","0","20.020","240.240.100","2.878.320",""
"TSC","19.390","53.941.800","0","0","19.390","53.941.800","71.544.606","0.54%"
"VSC","69.130","3.415.830.000","50.000","2.557.100.000","19.130","858.730.000","11.369.626","28.37%"
"PDR","15.980","653.960.000","0","0","15.980","653.960.000","191.204.614","0.74%"
"CTD","141.730","9.064.190.000","125.890","8.067.250.000","15.840","996.940.000","2.329.947","46.06%"
"ANV","19.210","427.300.000","3.500","77.350.000","15.710","349.950.000","60.795.295","1.33%"
"FMC","23.170","830.730.000","7.830","283.450.000","15.340","547.280.000","19.684.421","8.86%"
"HT1","16.130","249.577.500","900","13.850.000","15.230","235.727.500","164.326.943","5.94%"
"VPG","14.900","217.200.500","0","0","14.900","217.200.500","18.798.548","1.17%"
"PPC","15.250","363.140.000","430","10.310.000","14.820","352.830.000","109.796.019","15.34%"
"PTB","14.820","862.550.000","0","0","14.820","862.550.000","15.460.700","17.19%"
"SGN","14.890","1.033.890.000","200","13.800.000","14.690","1.020.090.000","9.356.171","2.14%"
"SKG","14.560","145.599.900","0","0","14.560","145.599.900","3.113.013","44.08%"
"NNC","15.380","648.200.000","1.000","42.120.000","14.380","606.080.000","7.461.006","14.96%"
"TLD","12.210","69.839.000","0","0","12.210","69.839.000","15.956.825","7.07%"
"DGC","11.220","529.000.000","0","0","11.220","529.000.000","70.466.891","1.63%"
"HVN","13.660","357.423.500","2.780","72.689.000","10.880","284.734.500","294.883.460","9.21%"
"FTS","11.530","146.620.000","1.000","12.700.000","10.530","133.920.000","103.720.086","21.58%"
"QCG","10.050","60.946.600","0","0","10.050","60.946.600","133.494.658","0.48%"
"DVP","10.960","520.420.000","1.070","51.150.000","9.890","469.270.000","13.686.500","14.78%"
"TVB","10.490","125.760.000","920","11.050.000","9.570","114.710.000","25.123.947","0.80%"
"GDT","9.040","340.810.000","0","0","9.040","340.810.000","4.843.693","20.74%"
"JVC","12.840","56.990.000","4.270","18.890.000","8.570","38.100.000","40.364.041","13.12%"
"EVG","10.320","60.710.000","2.040","11.890.000","8.280","48.820.000","28.619.720","1.30%"
"TCL","9.960","269.120.000","1.860","51.990.000","8.100","217.130.000","13.129.237","5.47%"
"TLH","7.600","43.620.000","0","0","7.600","43.620.000","48.614.265","1.39%"
"BMI","31.630","965.610.000","24.650","751.500.000","6.980","214.110.000","13.277.989","34.47%"
"SHI","6.350","55.330.000","0","0","6.350","55.330.000","42.448.533","0.26%"
"HTN","6.330","278.560.000","0","0","6.330","278.560.000","16.080.526","0.36%"
"HII","6.200","93.890.000","110","1.660.000","6.090","92.230.000","15.564.504","0.40%"
"APC","5.400","126.820.000","0","0","5.400","126.820.000","6.622.994","16.08%"
"DPR","7.020","320.110.000","1.700","77.500.000","5.320","242.610.000","15.591.810","12.74%"
"PAN","5.100","104.695.000","0","0","5.100","104.695.000","13.604.388","42.71%"
"SCS","4.870","611.769.000","0","0","4.870","611.769.000","13.938.445","29.00%"
"CTS","37.800","318.520.000","33.000","278.106.900","4.800","40.413.100","41.563.388","9.95%"
"TV2","4.600","221.199.500","0","0","4.600","221.199.500","910.017","12.47%"
"MSH","4.500","171.820.000","0","0","4.500","171.820.000","21.673.986","5.66%"
"PLP","11.670","87.787.200","7.270","56.926.700","4.400","30.860.500","18.891.713","1.77%"
"STK","3.920","80.002.000","0","0","3.920","80.002.000","28.661.942","8.48%"
"NSC","4.820","354.652.000","1.000","73.613.000","3.820","281.039.000","7.444.144","6.67%"
"HAI","5.000","13.300.000","1.210","3.250.000","3.790","10.050.000","87.304.904","1.21%"
"DSN","3.720","172.120.000","0","0","3.720","172.120.000","3.588.541","19.30%"
"TYA","5.100","67.820.000","1.500","20.025.000","3.600","47.795.000","4.457.225","27.34%"
"GIL","28.420","1.109.850.000","24.990","975.610.000","3.430","134.240.000","14.537.990","8.62%"
"TVS","33.210","398.520.000","30.000","360.000.000","3.210","38.520.000","20.817.127","25.90%"
"SJS","3.340","88.581.500","200","5.370.000","3.140","83.211.500","53.832.624","2.13%"
"EVE","3.140","33.710.000","0","0","3.140","33.710.000","13.747.207","67.25%"
"SGT","3.000","16.200.000","0","0","3.000","16.200.000","26.076.681","13.76%"
"VRC","2.940","19.390.000","0","0","2.940","19.390.000","23.492.684","2.01%"
"CMG","5.450","178.780.000","2.600","84.962.000","2.850","93.818.000","10.881.998","38.12%"
"NHH","2.820","138.150.000","0","0","2.820","138.150.000","34.430.110","0.03%"
"CMX","10.990","173.360.000","8.240","129.270.000","2.750","44.090.000","10.684.028","13.87%"
"CCL","4.300","32.350.000","1.730","12.980.000","2.570","19.370.000","22.198.787","2.27%"
"FIT","6.230","54.450.000","3.780","32.770.000","2.450","21.680.000","122.294.502","0.99%"
"OGC","10.000","73.800.000","7.950","59.020.000","2.050","14.780.000","144.164.242","0.95%"
"ITC","2.000","30.800.000","0","0","2.000","30.800.000","38.693.752","0.47%"
"TCT","1.950","52.860.000","0","0","1.950","52.860.000","4.664.310","12.53%"
"TNA","1.880","25.413.000","0","0","1.880","25.413.000","17.402.385","5.20%"
"ICT","1.530","32.024.000","0","0","1.530","32.024.000","32.033.500","0.47%"
"PGD","1.520","40.484.000","0","0","1.520","40.484.000","1.941.367","46.84%"
"VIB","1.500","43.780.000","20","580.000","1.480","43.200.000","2.720.668","29.57%"
"C32","1.560","37.114.500","340","8.041.000","1.220","29.073.500","5.593.746","11.78%"
"MCG","1.180","2.100.400","0","0","1.180","2.100.400","25.480.846","4.69%"
"LGL","1.000","5.300.000","0","0","1.000","5.300.000","24.087.321","2.17%"
"NTL","35.070","735.710.000","34.080","720.790.000","990","14.920.000","26.733.185","5.17%"
"GTN","800","19.120.000","0","0","800","19.120.000","249.301.481","0.28%"
"LPB","660","8.301.000","0","0","660","8.301.000","19.324","5.00%"
"CRE","17.520","569.260.000","16.860","549.610.000","660","19.650.000","27.411.788","14.74%"
"VCF","550","121.000.000","0","0","550","121.000.000","12.868.198","0.59%"
"TNI","510","1.463.700","0","0","510","1.463.700","25.379.080","0.66%"
"FUESSV50","500","7.077.000","0","0","500","7.077.000","4.188.070","65.58%"
"BTT","500","18.500.000","0","0","500","18.500.000","6.602.847","0.09%"
"FPT","410","22.550.000","0","0","410","22.550.000","414","49.00%"
"CAV","400","27.920.000","0","0","400","27.920.000","28.054.948","0.29%"
"VTB","400","3.770.000","0","0","400","3.770.000","5.700.840","1.42%"
"YBM","400","1.912.000","0","0","400","1.912.000","6.901.124","0.74%"
"APH","320","28.283.000","30","2.649.000","290","25.634.000","79.777.689","50.47%"
"ACL","270","3.370.000","0","0","270","3.370.000","18.504.447","2.68%"
"SMB","1.000","39.000.000","730","28.490.000","270","10.510.000","10.573.886","13.57%"
"REE","250","12.112.500","0","0","250","12.112.500","250","49.00%"
"BCM","230","9.494.000","0","0","230","9.494.000","488.655.390","1.79%"
"IMP","240","12.713.000","100","5.310.000","140","7.403.000","247","49.00%"
"PNJ","100","7.700.000","0","0","100","7.700.000","100","49.00%"
"PGC","50","1.090.000","0","0","50","1.090.000","27.228.558","3.88%"
"TAC","40","1.570.000","0","0","40","1.570.000","16.101.963","1.47%"
"CDC","40","834.000","0","0","40","834.000","7.641.481","0.35%"
"TTB","30","130.000","0","0","30","130.000","22.883.554","0.13%"
"FUCVREIT","20","120.000","0","0","20","120.000","2.407.390","0.85%"
"LGC","10","614.000","0","0","10","614.000","7.735.515","44.99%"
"SRC","10","170.000","0","0","10","170.000","13.723.761","0.10%"
"SHA","0","0","0","0","0","0","14.567.964","0.98%"
"SGR","0","0","0","0","0","0","29.392.315","0.01%"
"DBT","0","0","0","0","0","0","5.579.945","7.76%"
"SII","0","0","0","0","0","0","26.223","48.96%"
"SHP","0","0","0","0","0","0","41.241.654","4.99%"
