"SFC","24.60","1.60 (7.0 %)","23.00","24.60","24.60","24.60","5,060","124,000,000","0","0"
"TTE","9.44","0.61 (6.9 %)","8.83","9.44","9.44","9.44","10","0","0","0"
"TTF","7.76","0.50 (6.9 %)","7.26","7.50","7.76","7.35","2,685,470","20,600,000,000","0","0"
"DXV","3.42","0.22 (6.9 %)","3.20","3.42","3.42","3.42","500","2,000,000","0","0"
"DAT","35.80","2.30 (6.9 %)","33.50","33.50","35.80","33.50","2,760","97,000,000","0","0"
"L10","15.00","0.95 (6.8 %)","14.05","13.25","15.00","13.25","60","1,000,000","0","0"
"TS4","3.50","0.22 (6.7 %)","3.28","3.28","3.50","3.28","41,740","140,000,000","0","0"
"BSI","10.10","0.63 (6.7 %)","9.47","9.47","10.10","9.40","394,760","3,889,000,000","0","0"
"VTB","10.45","0.65 (6.6 %)","9.80","10.45","10.45","10.45","52,610","550,000,000","0","0"
"TCO","13.10","0.80 (6.5 %)","12.30","13.10","13.10","13.10","10","0","0","0"
"GAB","185.80","11.00 (6.3 %)","174.80","175.00","185.80","175.00","185,540","32,744,000,000","0","0"
"CTD","57.80","3.40 (6.3 %)","54.40","54.50","57.80","54.50","969,710","54,697,000,000","0","0"
"VDS","8.24","0.48 (6.2 %)","7.76","7.76","8.24","7.76","6,560","54,000,000","0","0"
"GVR","14.80","0.85 (6.1 %)","13.95","14.15","14.85","13.95","6,244,920","90,447,000,000","0","0"
"SRC","18.00","1.00 (5.9 %)","17.00","15.90","18.00","15.90","19,620","329,000,000","0","0"
"SVC","71.00","3.90 (5.8 %)","67.10","70.90","71.00","70.90","1,170","83,000,000","0","0"
"VMD","25.60","1.40 (5.8 %)","24.20","24.50","25.60","24.50","6,730","168,000,000","0","0"
"HU3","8.40","0.45 (5.7 %)","7.95","8.00","8.40","8.00","34,320","286,000,000","0","0"
"HVX","3.40","0.17 (5.3 %)","3.23","3.44","3.44","3.40","120","0","0","0"
"SC5","18.90","0.90 (5.0 %)","18.00","17.50","18.90","17.00","18,400","322,000,000","0","0"
"SMA","9.95","0.45 (4.7 %)","9.50","8.85","9.95","8.85","1,510","13,000,000","0","0"
"SHP","24.70","1.00 (4.2 %)","23.70","23.80","25.00","23.50","3,020","72,000,000","0","0"
"ACC","19.80","0.80 (4.2 %)","19.00","19.80","19.80","19.80","10","0","0","0"
"SGN","68.60","2.60 (3.9 %)","66.00","66.90","68.60","66.00","5,470","367,000,000","0","0"
"FUEVN100","12.15","0.45 (3.8 %)","11.70","11.75","12.15","11.64","1,050","13,000,000","0","0"
"VNE","5.29","0.19 (3.7 %)","5.10","5.40","5.40","5.20","11,190","58,000,000","0","0"
"LM8","11.15","0.40 (3.7 %)","10.75","11.45","11.45","11.15","930","10,000,000","0","0"
"TEG","4.75","0.17 (3.7 %)","4.58","4.84","4.84","4.60","30,070","143,000,000","0","0"
"HDC","22.80","0.80 (3.6 %)","22.00","21.85","22.95","21.85","726,210","16,280,000,000","33,500","740,350,000"
"MDG","11.40","0.40 (3.6 %)","11.00","10.50","11.40","10.50","1,910","20,000,000","0","0"
"HBC","11.40","0.40 (3.6 %)","11.00","11.10","11.45","11.05","8,095,860","91,418,000,000","0","0"
"DHA","41.30","1.30 (3.2 %)","40.00","40.00","42.30","39.10","71,310","2,900,000,000","0","0"
"CKG","11.15","0.35 (3.2 %)","10.80","10.90","11.20","10.75","829,820","9,160,000,000","0","0"
"CTG","32.15","1.00 (3.2 %)","31.15","32.10","32.45","31.90","9,648,680","310,565,000,000","3,710,000","117,180,000,000"
"NAF","22.25","0.65 (3.0 %)","21.60","22.10","22.35","22.00","103,110","2,290,000,000","0","0"
"BVH","55.50","1.60 (3.0 %)","53.90","55.10","56.00","55.10","1,599,020","88,737,000,000","0","0"
"PDN","75.70","2.10 (2.9 %)","73.60","73.40","75.70","73.00","670","49,000,000","0","0"
"SBT","16.45","0.45 (2.8 %)","16.00","16.20","16.45","15.80","4,101,520","66,198,000,000","3,890,050","58,350,750,000"
"TNC","25.70","0.70 (2.8 %)","25.00","26.00","26.75","25.70","500","13,000,000","0","0"
"SMC","12.85","0.35 (2.8 %)","12.50","13.00","13.20","12.40","184,440","2,372,000,000","0","0"
"CLL","28.25","0.75 (2.7 %)","27.50","27.70","28.25","27.50","1,020","28,000,000","0","0"
"HID","2.67","0.07 (2.7 %)","2.60","2.62","2.69","2.62","55,230","146,000,000","0","0"
"PDR","39.00","1.00 (2.6 %)","38.00","38.00","39.10","38.00","1,878,950","72,252,000,000","2,310,362","85,777,394,000"
"LDG","7.14","0.18 (2.6 %)","6.96","7.00","7.15","6.98","3,167,980","22,499,000,000","800,000","5,736,000,000"
"STB","14.10","0.35 (2.5 %)","13.75","13.80","14.30","13.75","20,547,610","288,398,000,000","290,000","3,741,000,000"
"DRC","20.20","0.50 (2.5 %)","19.70","19.80","20.40","19.65","957,430","19,229,000,000","0","0"
"DXG","12.20","0.30 (2.5 %)","11.90","11.90","12.20","11.80","7,954,440","96,143,000,000","0","0"
"MSN","82.00","2.00 (2.5 %)","80.00","76.20","82.00","76.20","3,072,960","245,764,000,000","0","0"
"DIG","18.75","0.45 (2.5 %)","18.30","18.20","19.10","17.95","4,382,630","81,680,000,000","0","0"
"VSI","17.95","0.40 (2.3 %)","17.55","18.15","18.15","17.50","1,620","29,000,000","0","0"
"CCL","7.64","0.17 (2.3 %)","7.47","7.52","7.81","7.52","257,680","1,976,000,000","0","0"
"SFI","22.80","0.50 (2.2 %)","22.30","22.50","23.00","22.50","1,680","38,000,000","0","0"
"MBB","18.25","0.40 (2.2 %)","17.85","18.00","18.35","18.00","10,589,820","193,178,000,000","250,000","4,587,500,000"
"DBC","41.50","0.90 (2.2 %)","40.60","40.20","42.00","39.95","2,120,970","87,071,000,000","0","0"
"DTA","4.16","0.09 (2.2 %)","4.07","4.20","4.20","4.00","1,480","6,000,000","0","0"
"TPB","25.50","0.55 (2.2 %)","24.95","25.05","25.70","24.90","3,684,050","93,626,000,000","680,000","16,966,000,000"
"RDP","8.07","0.17 (2.2 %)","7.90","8.09","8.09","7.90","1,020","8,000,000","0","0"
"HDG","24.50","0.50 (2.1 %)","24.00","24.00","24.80","24.00","827,930","20,198,000,000","0","0"
"ITD","9.85","0.20 (2.1 %)","9.65","9.69","9.85","9.60","41,650","405,000,000","0","0"
"SFG","6.94","0.14 (2.1 %)","6.80","6.80","6.99","6.80","32,560","224,000,000","0","0"
"UIC","40.65","0.80 (2.0 %)","39.85","39.85","41.00","39.50","510","20,000,000","0","0"
"HCM","22.90","0.45 (2.0 %)","22.45","22.80","23.45","22.70","4,070,010","93,940,000,000","0","0"
"TMT","5.10","0.10 (2.0 %)","5.00","4.96","5.10","4.85","13,510","67,000,000","0","0"
"IJC","12.80","0.25 (2.0 %)","12.55","12.65","12.90","12.50","415,240","5,264,000,000","0","0"
"CMX","15.40","0.30 (2.0 %)","15.10","15.20","15.40","15.20","239,530","3,679,000,000","0","0"
"CTS","7.75","0.15 (2.0 %)","7.60","7.60","7.78","7.60","358,700","2,761,000,000","0","0"
"TV2","46.50","0.90 (2.0 %)","45.60","45.60","46.50","45.60","90,140","4,148,000,000","0","0"
"C32","26.10","0.50 (2.0 %)","25.60","25.70","26.10","25.50","105,120","2,709,000,000","0","0"
"KSB","31.60","0.60 (1.9 %)","31.00","31.30","32.00","31.00","1,156,630","36,500,000,000","0","0"
"TRA","63.20","1.20 (1.9 %)","62.00","62.50","63.50","62.50","3,890","246,000,000","81,928","5,186,042,400"
"CII","18.70","0.35 (1.9 %)","18.35","18.50","18.85","18.45","1,066,760","19,933,000,000","0","0"
"LAF","10.70","0.20 (1.9 %)","10.50","10.95","10.95","10.65","140","1,000,000","0","0"
"PVT","13.75","0.25 (1.9 %)","13.50","13.65","13.75","13.50","2,030,130","27,664,000,000","0","0"
"STK","16.55","0.30 (1.8 %)","16.25","16.25","16.55","16.20","143,570","2,351,000,000","0","0"
"CLG","1.20","0.02 (1.7 %)","1.18","1.18","1.22","1.18","146,020","175,000,000","0","0"
"NLG","27.00","0.45 (1.7 %)","26.55","26.55","27.10","26.55","1,196,010","32,142,000,000","0","0"
"CLC","30.50","0.50 (1.7 %)","30.00","30.00","30.90","30.00","6,160","188,000,000","0","0"
"ITA","5.04","0.08 (1.6 %)","4.96","5.00","5.10","4.99","8,193,030","41,288,000,000","0","0"
"SHI","8.90","0.14 (1.6 %)","8.76","8.79","8.90","8.61","941,590","8,187,000,000","2,263,000","20,367,000,000"
"FTS","13.00","0.20 (1.6 %)","12.80","12.70","13.20","12.70","210,760","2,726,000,000","0","0"
"JVC","4.55","0.07 (1.6 %)","4.48","4.63","4.63","4.46","414,690","1,880,000,000","51,750","247,882,500"
"TCB","23.00","0.35 (1.5 %)","22.65","22.95","23.35","22.85","28,506,770","659,203,000,000","6,249,370","150,831,754,000"
"LGL","4.66","0.07 (1.5 %)","4.59","4.50","4.69","4.50","11,020","50,000,000","0","0"
"TRC","34.00","0.50 (1.5 %)","33.50","33.90","34.00","33.90","7,190","244,000,000","194,200","6,505,700,000"
"PJT","10.50","0.15 (1.4 %)","10.35","10.45","10.50","10.45","1,010","11,000,000","0","0"
"LCM","0.71","0.01 (1.4 %)","0.70","0.68","0.72","0.68","226,690","161,000,000","0","0"
"KBC","14.80","0.20 (1.4 %)","14.60","14.70","15.00","14.70","1,944,300","28,779,000,000","0","0"
"ITC","15.00","0.20 (1.4 %)","14.80","15.00","15.00","15.00","1,100","17,000,000","0","0"
"GIL","27.10","0.35 (1.3 %)","26.75","27.10","27.20","26.80","195,040","5,275,000,000","0","0"
"SGT","5.47","0.07 (1.3 %)","5.40","5.59","5.59","5.47","368,360","2,019,000,000","0","0"
"APH","72.80","0.90 (1.3 %)","71.90","71.90","73.00","71.90","405,950","29,442,000,000","0","0"
"MCG","1.62","0.02 (1.3 %)","1.60","1.60","1.62","1.60","2,300","4,000,000","0","0"
"DQC","16.20","0.20 (1.3 %)","16.00","16.35","16.35","16.00","4,540","73,000,000","0","0"
"PXS","5.80","0.07 (1.2 %)","5.73","5.75","5.82","5.70","82,180","474,000,000","0","0"
"SCD","24.90","0.30 (1.2 %)","24.60","24.90","24.90","24.90","70","2,000,000","0","0"
"SMB","38.50","0.45 (1.2 %)","38.05","39.40","39.40","38.50","15,080","589,000,000","0","0"
"HU1","6.88","0.08 (1.2 %)","6.80","6.80","6.88","6.50","4,080","28,000,000","0","0"
"NKG","8.66","0.10 (1.2 %)","8.56","8.59","8.67","8.56","2,014,720","17,384,000,000","0","0"
"DSN","45.00","0.50 (1.1 %)","44.50","44.50","45.00","44.10","9,590","428,000,000","0","0"
"YBM","4.50","0.05 (1.1 %)","4.45","4.49","4.61","4.45","26,260","118,000,000","1,948,439","8,066,537,460"
"SSI","18.35","0.20 (1.1 %)","18.15","18.30","18.70","18.15","9,462,400","174,635,000,000","0","0"
"NT2","23.30","0.25 (1.1 %)","23.05","23.05","23.40","23.00","146,080","3,387,000,000","0","0"
"DGC","42.00","0.45 (1.1 %)","41.55","41.60","43.00","41.60","635,200","26,794,000,000","0","0"
"CIG","1.87","0.02 (1.1 %)","1.85","1.76","1.87","1.76","1,250","2,000,000","0","0"
"GMD","23.80","0.25 (1.1 %)","23.55","23.55","23.95","23.50","299,140","7,100,000,000","69,613","1,718,766,950"
"HUB","24.10","0.25 (1.0 %)","23.85","24.15","24.15","23.50","1,180","28,000,000","0","0"
"TCT","29.20","0.30 (1.0 %)","28.90","29.50","29.50","29.00","65,260","1,912,000,000","0","0"
"EVG","4.92","0.05 (1.0 %)","4.87","4.90","5.00","4.83","1,256,370","6,156,000,000","0","0"
"BCE","7.88","0.08 (1.0 %)","7.80","7.90","7.90","7.75","111,350","873,000,000","0","0"
"TLD","10.20","0.10 (1.0 %)","10.10","10.20","10.35","10.00","380,530","3,871,000,000","0","0"
"BIC","21.00","0.20 (1.0 %)","20.80","20.80","21.30","20.70","196,030","4,108,000,000","0","0"
"HTN","26.80","0.25 (0.9 %)","26.55","26.55","27.80","26.30","139,590","3,731,000,000","0","0"
"VNS","10.95","0.10 (0.9 %)","10.85","10.85","10.95","10.65","660","7,000,000","0","0"
"ROS","2.23","0.02 (0.9 %)","2.21","2.24","2.25","2.21","4,414,490","9,863,000,000","0","0"
"PC1","22.60","0.20 (0.9 %)","22.40","22.80","23.50","22.35","618,910","14,010,000,000","0","0"
"VIP","6.82","0.06 (0.9 %)","6.76","6.76","6.92","6.70","270,620","1,843,000,000","0","0"
"CMG","34.30","0.30 (0.9 %)","34.00","34.00","34.60","34.00","50,370","1,728,000,000","0","0"
"HTL","19.00","0.15 (0.8 %)","18.85","18.85","19.00","18.85","6,060","115,000,000","0","0"
"AGR","5.08","0.04 (0.8 %)","5.04","5.10","5.10","5.04","597,980","3,031,000,000","0","0"
"CRC","13.65","0.10 (0.7 %)","13.55","13.45","13.65","13.45","251,580","3,401,000,000","0","0"
"DPR","41.40","0.30 (0.7 %)","41.10","40.50","42.05","40.50","3,350","139,000,000","0","0"
"VPD","14.90","0.10 (0.7 %)","14.80","14.80","14.90","14.80","3,270","48,000,000","0","0"
"TNT","1.52","0.01 (0.7 %)","1.51","1.51","1.53","1.51","27,340","42,000,000","0","0"
"HII","15.25","0.10 (0.7 %)","15.15","15.15","15.80","15.10","181,500","2,794,000,000","0","0"
"TTA","15.30","0.10 (0.7 %)","15.20","15.05","15.30","15.05","507,740","7,709,000,000","0","0"
"VND","16.00","0.10 (0.6 %)","15.90","16.10","16.25","15.85","1,518,840","24,433,000,000","0","0"
"RAL","115.00","0.70 (0.6 %)","114.30","114.50","115.00","108.00","7,480","857,000,000","0","0"
"HQC","1.72","0.01 (0.6 %)","1.71","1.71","1.73","1.71","4,544,620","7,812,000,000","0","0"
"SAM","9.35","0.05 (0.5 %)","9.30","9.30","9.45","8.90","683,530","6,296,000,000","4,455,000","41,729,500,000"
"FUEVFVND","14.07","0.07 (0.5 %)","14.00","14.61","14.61","14.03","705,870","9,944,000,000","0","0"
"FIR","30.65","0.15 (0.5 %)","30.50","30.50","30.70","30.40","68,120","2,082,000,000","0","0"
"MHC","6.18","0.03 (0.5 %)","6.15","6.35","6.37","6.15","215,160","1,351,000,000","0","0"
"NVL","62.60","0.30 (0.5 %)","62.30","62.40","62.90","61.80","1,722,490","107,526,000,000","785,000","47,500,500,000"
"FLC","4.25","0.02 (0.5 %)","4.23","4.25","4.37","4.24","4,964,380","21,400,000,000","0","0"
"FCN","11.25","0.05 (0.4 %)","11.20","11.30","11.35","11.15","652,790","7,346,000,000","0","0"
"D2D","68.30","0.30 (0.4 %)","68.00","68.00","68.70","67.20","147,380","10,058,000,000","0","0"
"DRH","7.14","0.03 (0.4 %)","7.11","7.11","7.24","7.11","398,910","2,861,000,000","0","0"
"TPC","7.42","0.03 (0.4 %)","7.39","7.11","7.42","7.09","2,310","16,000,000","0","0"
"AGM","12.40","0.05 (0.4 %)","12.35","12.35","12.50","12.35","26,060","324,000,000","0","0"
"TSC","2.78","0.01 (0.4 %)","2.77","2.78","2.83","2.74","245,690","679,000,000","0","0"
"VPI","41.75","0.15 (0.4 %)","41.60","41.60","41.95","41.50","1,676,360","69,898,000,000","0","0"
"FUESSV30","11.15","0.04 (0.4 %)","11.11","11.17","11.17","11.15","303,230","3,382,000,000","0","0"
"STG","14.45","0.05 (0.3 %)","14.40","14.45","14.45","14.40","5,940","86,000,000","0","0"
"TNA","14.90","0.05 (0.3 %)","14.85","14.85","15.00","14.55","204,860","3,013,000,000","0","0"
"TDC","8.97","0.03 (0.3 %)","8.94","8.99","8.99","8.93","41,250","369,000,000","0","0"
"VNG","14.95","0.05 (0.3 %)","14.90","14.90","15.00","14.85","160,080","2,389,000,000","0","0"
"FCM","6.17","0.02 (0.3 %)","6.15","6.35","6.35","6.10","4,470","28,000,000","0","0"
"VTO","7.00","0.02 (0.3 %)","6.98","7.00","7.00","6.93","11,360","80,000,000","0","0"
"NSC","70.60","0.20 (0.3 %)","70.40","71.00","73.50","70.60","33,500","2,389,000,000","0","0"
"VNM","107.70","0.30 (0.3 %)","107.40","107.40","108.30","107.40","1,617,740","174,588,000,000","225,810","24,373,415,200"
"FUESSVFL","10.95","0.03 (0.3 %)","10.92","10.97","11.06","10.95","4,170","46,000,000","0","0"
"DCL","19.15","0.05 (0.3 %)","19.10","19.15","19.15","19.05","16,170","309,000,000","0","0"
"TDH","7.77","0.02 (0.3 %)","7.75","7.72","7.86","7.72","857,910","6,700,000,000","0","0"
"TLH","4.04","0.01 (0.2 %)","4.03","4.11","4.20","4.04","45,390","185,000,000","0","0"
"CNG","20.55","0.05 (0.2 %)","20.50","20.40","20.55","20.40","81,740","1,679,000,000","0","0"
"SJS","23.00","0.05 (0.2 %)","22.95","23.35","23.35","22.80","80,100","1,836,000,000","0","0"
"VGC","23.05","0.05 (0.2 %)","23.00","22.50","23.10","22.50","88,400","2,023,000,000","0","0"
"PPC","23.50","0.05 (0.2 %)","23.45","23.75","23.75","23.45","105,730","2,489,000,000","0","0"
"TCM","23.85","0.05 (0.2 %)","23.80","23.80","23.85","23.60","522,990","12,420,000,000","0","0"
"CRE","24.20","0.05 (0.2 %)","24.15","24.10","24.45","23.95","1,032,360","25,008,000,000","0","0"
"HAG","4.91","0.01 (0.2 %)","4.90","4.91","5.01","4.84","9,808,080","48,267,000,000","0","0"
"DAH","5.04","0.01 (0.2 %)","5.03","5.10","5.10","4.99","467,140","2,340,000,000","0","0"
"SSC","51.90","0.10 (0.2 %)","51.80","51.80","51.90","51.80","110","6,000,000","0","0"
"HVN","26.10","0.05 (0.2 %)","26.05","26.10","26.25","26.05","255,690","6,676,000,000","117,000","3,047,850,000"
"FPT","53.30","0.10 (0.2 %)","53.20","53.60","53.80","53.00","2,333,670","124,468,000,000","2,279,481","129,373,676,900"
"TCL","30.00","0.05 (0.2 %)","29.95","30.00","30.50","29.95","159,330","4,792,000,000","0","0"
"NCT","68.00","0.10 (0.1 %)","67.90","67.90","68.00","67.80","18,260","1,240,000,000","0","0"
"VIC","97.70","0.10 (0.1 %)","97.60","97.80","97.90","97.40","370,590","36,191,000,000","100,000","9,768,000,000"
"SVT","13.90","0.00 (0.0 %)","13.90","13.90","13.90","13.90","0","0","0","0"
"PMG","12.30","0.00 (0.0 %)","12.30","12.30","12.30","12.05","6,470","79,000,000","0","0"
"PTL","7.10","0.00 (0.0 %)","7.10","7.10","7.10","7.10","10","0","0","0"
"PSH","18.30","0.00 (0.0 %)","18.30","18.30","18.35","18.25","610,170","11,161,000,000","0","0"
"PTC","9.20","0.00 (0.0 %)","9.20","9.20","9.20","9.20","0","0","0","0"
"VPH","4.39","0.00 (0.0 %)","4.39","4.45","4.45","4.30","16,580","72,000,000","0","0"
"PHR","55.30","0.00 (0.0 %)","55.30","55.80","56.10","55.00","385,320","21,397,000,000","0","0"
"PAN","20.10","0.00 (0.0 %)","20.10","20.10","20.45","19.90","129,360","2,598,000,000","0","0"
"PIT","4.95","0.00 (0.0 %)","4.95","4.95","4.95","4.95","10","0","0","0"
"OPC","56.00","0.00 (0.0 %)","56.00","56.90","57.50","56.00","9,190","524,000,000","0","0"
"REE","41.60","0.00 (0.0 %)","41.60","41.20","41.65","41.20","144,440","5,993,000,000","147,748","6,171,866,400"
"PET","10.40","0.00 (0.0 %)","10.40","10.40","10.50","10.30","630,810","6,536,000,000","0","0"
"PGI","18.90","0.00 (0.0 %)","18.90","19.95","19.95","18.90","420","8,000,000","0","0"
"SRF","13.00","0.00 (0.0 %)","13.00","13.00","13.00","13.00","920","12,000,000","0","0"
"PGC","19.00","0.00 (0.0 %)","19.00","19.00","19.00","18.90","41,410","783,000,000","0","0"
"SII","17.30","0.00 (0.0 %)","17.30","17.90","17.90","17.30","950","17,000,000","0","0"
"ST8","9.91","0.00 (0.0 %)","9.91","9.91","9.91","9.91","0","0","0","0"
"SAV","15.20","0.00 (0.0 %)","15.20","15.00","15.30","14.75","29,860","452,000,000","0","0"
"NAV","22.50","0.00 (0.0 %)","22.50","22.50","22.50","22.50","0","0","0","0"
"SVI","81.70","0.00 (0.0 %)","81.70","81.70","81.70","81.70","0","0","0","0"
"PME","69.00","0.00 (0.0 %)","69.00","69.10","70.00","69.00","6,020","420,000,000","0","0"
"NBB","23.70","0.00 (0.0 %)","23.70","23.70","23.80","23.35","297,400","7,057,000,000","0","0"
"RIC","4.50","0.00 (0.0 %)","4.50","4.50","4.50","4.50","0","0","0","0"
"VPG","12.40","0.00 (0.0 %)","12.40","12.30","12.45","11.85","1,108,110","13,326,000,000","0","0"
"S4A","28.00","0.00 (0.0 %)","28.00","28.20","28.20","28.00","4,520","127,000,000","0","0"
"NTL","18.50","0.00 (0.0 %)","18.50","18.80","18.95","18.45","572,630","10,675,000,000","0","0"
